"name","orig_id","streetAddress","state","location","platinum"
"AL SADAT AND HINDI EXCHANGE CO","AJO120082","Bldg Metleg Hadeed   St Madaba","Amman","31.908368,35.938676","Y"
"HOUSING BANK FOR T AND F","AJO020498","Al Qwaismeh Branch","Amman","31.91776,35.94836","N"
"AL SAYED EXCHANGE","AJO012161","Bldg No 28st Muhammad Munawar Al Hadeed","Amman","31.917854,35.948035","N"
"HOUSING BANK FOR T AND F","AJO020508","Aletha A Branch","Amman","31.90856,35.93842","N"
"CAIRO AMMAN BANK","AJO010291","Quweismeh Branch","Amman","31.908676,35.93826","N"
"BANK AL ETIHAD","AJO130113","Bldg 3 St Ubad Ben Beshr","Amman","31.911712,35.937936","N"
"ABU SHEIKHA EXCHANGE","AJO100095","Bldg 337 St Pr. Hasan","Amman","31.919416,35.938567","Y"
"MUSHARBASH EXCHANGE COMPANY","AJO090183","Abu Alanda Branch","Amman","31.902885,35.962517","Y"
"MUSHARBASH EXCHANGE COMPANY","AJO090127","Wehdat Branch 1","Amman","31.920822,35.938329","Y"
"BANK AL ETIHAD","AJO130508","Bldg 1 St Muneer Alasmar","Amman","31.901187,35.95815","N"
"RUSHDI SULEIMAN AND PARTNERS","AJO011027","St Abu Alanda Hazem","Amman","31.899444,35.961454","Y"
"HOUSING BANK FOR T AND F","AJO020443","Abu Alanda Branch","Amman","31.902902,35.962151","N"
"ALMOUSA EXCHANGE CO","AJO040881","Blg Salama Howayan Complex St","Amman","31.900056,35.933583","Y"
"JORDAN KUWAIT BANK","AJO140684","Abu Hassan Mall St Alhikma","Amman","31.905188,35.964641","N"
"CAIRO AMMAN BANK","AJO012710","Customs Office","Amman","31.899081,35.938665","N"
"JORDAN KUWAIT BANK","AJO140541","St Alhizam Aldaeri","Amman","31.898546,35.963101","N"
"HOUSING BANK FOR T AND F","AJO020278","Al Wihdat Branch","Amman","31.92113,35.93455","N"
"JORDAN COMMERCIAL BANK","AJO030190","Bldg 457 St Madaba","Amman","31.895988,35.938044","N"
"ARAB JORDAN INVESTMENT BANK","AJO011160","Wehdat Branch","Amman","31.924183,35.937925","N"
"JORDAN KUWAIT BANK","AJO140156","Bldg 199 St Alyarmouk","Amman","31.928381,35.945442","N"
"MUSHARBASH EXCHANGE COMPANY","AJO090161","Wehdat Branch 2","Amman","31.931491,35.933889","Y"
"JORDAN ISLAMIC BANK","AJO050066","Bldg Jib St Prince Hassan","Amman","31.92851,35.9376","N"
"JORDAN KUWAIT BANK","AJO140222","Bldg 226 St Madaba","Amman","31.928709,35.936966","N"
"AL SAYED EXCHANGE","AJO011609","Bldg No 206st Madaba","Amman","31.931088,35.935263","N"
"ALAWNEH EXCHANGE L L C","AJO080294","Yaser Alnajar Cplx St Almothana Alhareth","Amman","31.931075,35.934506","N"
"CAIRO AMMAN BANK","AJO010192","Abu Alanda Branch","Amman","31.89661,35.973274","N"
"CAIRO AMMAN BANK","AJO012248","Al Hurrya St Branch","Amman","31.897712,35.922403","N"
"ALAWNEH EXCHANGE L L C","AJO080458","Bldg Ayla Centerst Radio And Tv","Amman","31.915511,35.911517","Y"
"CAIRO AMMAN BANK","AJO010246","Wehdat Branch","Amman","31.934004,35.932774","N"
"JORDAN POST COMPANY AL ASHRFYA","AJO180075","Al Ashrfyah Barto Street","-","31.93716,35.934093","N"
"HOUSING BANK FOR T AND F","AJO020542","Ashrafieh Branch","Amman","31.93715,35.93356","N"
"AREEN EXCHANGE","AJO090381","Bulding 19 - Jabal Arfat St.","Amman","31.934728,35.915169","Y"
"HOUSING BANK FOR T AND F","AJO022588","Al Huriah Street Branch","Amman","31.89591,35.91651","N"
"ALAWNEH EXCHANGE L L C  TEST","AJO080502","15 Abdulhamid Shoman Street Sh","-","31.940164,35.938915","N"
"ALAWNEH EXCHANGE L L C   PRODUCTION","AJO080524","15 Abdulhamid Shoman Street Sh","-","31.940164,35.938915","N"
"JORDAN KUWAIT BANK","AJO140662","Borhan Complex St Alsakhra Almosharafah","Amman","31.916397,35.910708","N"
"BANK AL ETIHAD","AJO130454","Bldg 172 St Al-sakhrah Al-musharrafah","Amman","31.916388,35.910687","N"
"ALMASHREQ EXCHANGE","AJO010983","Bldg No  2st Al Hashemi","Amman","31.95024,35.934924","Y"
"ALAWNEH EXCHANGE L L C","AJO080085","Bldg 2st Alhashmi","Amman","31.950492,35.935264","Y"
"MUSHARBASH EXCHANGE COMPANY","AJO090095","Down Town Branch","Amman","31.950506,35.935202","Y"
"HOUSING BANK FOR T AND F","AJO020344","Juwaideh Branch","Amman","31.87917,35.93285","N"
"JORDAN KUWAIT BANK","AJO140134","Bldg 92 St Alhurriya","Amman","31.895777,35.912333","N"
"AL SADAT AND HINDI EXCHANGE CO","AJO120059","Bldg Bayrouny   St Dustoor","Amman","31.952288,35.931937","Y"
"JORDAN ISLAMIC BANK","AJO050758","Bldg Jib St Alkifah","Amman","31.876705,35.932186","N"
"JORDAN KUWAIT BANK","AJO140354","St Mohammad Alayasrah","Amman","31.938306,35.919853","N"
"AREEN EXCHANGE","AJO090358","Bul. 109 - Al Dostor St.  - Ha","Amman","31.934728,35.915169","N"
"HOUSING BANK FOR T AND F","AJO020146","Hai Nazzal Branch","Amman","31.93614,35.91569","N"
"JORDAN ISLAMIC BANK","AJO050208","Bldg Jib St Qurayish","Amman","31.946025,35.931983","N"
"JORDAN UAE EXHANGE","AJO012303","Bldg No  42st Jabal Arafat","Amman","31.917395,35.891372","Y"
"ALAWNEH EXCHANGE L L C","AJO080436","Bldg 56st Jabal Arafat","Amman","31.916634,35.891041","Y"
"JORDAN POST COMPANY HAY NAZAL","AJO180086","Bldg: Hay Nazzal Branchst Main","Amaan","31.928224,35.906914","N"
"HOUSING BANK FOR T AND F","AJO020454","Ras El Ain Branch","Amman","31.94335,35.92226","N"
"ALAWNEH EXCHANGE L L C","AJO080403","Bldg 50st Islamic Scientific College","Amman","31.951971,35.915843","Y"
"JORDAN KUWAIT BANK","AJO140453","Bldg 99 St Quraysh","Amman","31.949286,35.935818","N"
"AL AKASH EXCHANGE","AJO011391","Down Town","Amman","31.949194,35.933972","N"
"AL SHOROUQ EXCHANGE","AJO090314","King Talal Street Alhussaini M","-","31.949748,35.934305","N"
"AL IKLAS EXCHANGE","AJO090303","Alhashmi Street Building  No4","-","31.950446,35.935104","N"
"AL NOBALAA AL ALAMYA EXCHANGE","AJO090480","Building 13 - Hashmi Street","Amman","31.950729,35.935371","N"
"SHANAWANI EXCHANGE","AJO011225","Bldg No 95st Al Ridah","Amman","31.950772,35.934965","N"
"AL SHANAWANI EXCHANGE","AJO012820","Bldg No  90st Sharif Nasser Bin Jameel","Amman","31.95082,35.934772","N"
"BANK AL ETIHAD","AJO130135","Bldg 2 St Ridha   Down Town","Amman","31.950967,35.93526","N"
"INTERNATIONAL EXCHANGE","AJO120147","Building 74, Wasfi Tall Street","Amman","31.88106,35.98598","N"
"ABU ALNASER EXCHANGE DOWNTOWN","AJO040803","Bldg 7st Reda","Amman","31.95112,35.935008","N"
"AL SHOROUQ EXCHANGE","AJO090336","Al Reda Street Front Of Al Eti","-","31.951031,35.934506","N"
"HOUSING BANK FOR T AND F","AJO020531","Al Taj Branch","Amman","31.95282,35.95528","N"
"CAIRO AMMAN BANK","AJO010093","Mahata Branch","Amman","31.953153,35.9502","N"
"CAIRO AMMAN BANK","AJO010037","Amman Branch","Amman","31.951801,35.935456","N"
"ALNADA EXCHANGE","AJO040540","Bldg 17 St King Faisal","Amman","31.951416,35.933606","N"
"ECONOMY EXCHANGE","AJO040397","Bldg 17 St King Faisal","Amman","31.951457,35.933526","N"
"PALESTINE EXCHANGE","AJO040474","Bldg 14 St King Faisal","Amman","31.95163,35.933716","N"
"MUNJID QASRAWI EXCHANGE","AJO040517","Bldg 45 St Prince Mohammad","Amman","31.954907,35.912597","Y"
"BASHEER TAHBOUB EXCHANGE","AJO011292","Bldg No  16st King Faisal","Amman","31.951789,35.933555","N"
"AL SHOUROUQ EXCHANGE","AJO090325","King Fisal Street Front Of Ara","-","31.95202,35.93265","N"
"HOUSING BANK FOR T AND F","AJO020025","Al Hawouz Branch","Amman","31.94829,35.9222","N"
"JORDAN KUWAIT BANK","AJO140255","St Abdelmalek Bin Marwan","Amman","31.865458,35.957565","N"
"HOUSING BANK FOR T AND F","AJO020256","Prince Mohammad Street Branch","Amman","31.95168,35.9278","N"
"AL MARKAZYEH EXCHANGE","AJO090293","Al Souq Al Markazi Behind Hous","-","31.864897,35.957121","N"
"HOUSING BANK FOR T AND F","AJO020487","Al Madina Branch","Amman","31.95382,35.93195","N"
"HOUSING BANK FOR T AND F","AJO020399","Central Vegetable Market Branch","Amman","31.86427,35.95792","N"
"JORDAN VALLEY EXCHANGE","AJO060306","Bldg 36 St Zaid Ben Harthah","Amman","31.949035,35.919172","N"
"KAMAL EXCHANGE CO LLC","AJO040759","Bldg 157 Shareef St Naser Bin Jamil","Amman","31.951569,35.923963","N"
"HOUSING BANK FOR T AND F","AJO022643","Dahyat Al Yasmin Branch","Amman","31.91937,35.8941","N"
"JORDAN ISLAMIC BANK","AJO050033","Bldg Jib St King Hussein","Amman","31.950122,35.917044","N"
"KAMAL EXCHANGE CO LLC TAJ MALL","AJO040771","Bldg Taj Mall St Prince Hashim","Amman","31.941035,35.887706","Y"
"BANK AL ETIHAD","AJO130157","Bldg 102 St Badiya","Amman","31.918223,35.891886","N"
"MUSHARBASH EXCHANGE COMPANY","AJO090204","Abdoun Branch","Amman","31.948508,35.892433","Y"
"CAIRO AMMAN BANK","AJO010114","Jabal Alweibdeh Branch","Amman","31.95577,35.927219","N"
"BANK AL ETIHAD","AJO130290","Bldg 57 St Rainbow","Amman","31.951033,35.916632","N"
"ABU SHEIKHA EXCHANGE","AJO100040","Bldg Alshella  St Khaled Bin A","Amman","31.966446,35.919368","Y"
"ARAB JORDAN INVESTMENT BANK","AJO012183","Bldg No 51st Mount Arafat","Amman","31.916464,35.890731","N"
"JORDAN POST COMPANY JABAL ALWE","AJO180042","Bldg: Jabal Al Webdeh St Al Shareaa Clg","Amman","31.956153,35.925999","N"
"ALFYSAL EXCHANGE CO","AJO090402","Building 4 - Al Shuhada St. -","Amman","31.871012,36.007242","Y"
"SWISS EXCHANGE","AJO060427","Bldg 31 St Saad Abdo Shamout","Amman","31.941207,35.884505","Y"
"JORDAN POST COMPANY JABAL AMMAN BRANCH","AJO180107","Bldg: Jabal Amman Branch St Jabal Amman","Amman","31.951843,35.915642","N"
"ABU SHEIKHA EXCHANGE","AJO100105","Bldg 53 St Sulaiman Alnablsi","Amman","31.962248,35.906347","Y"
"CAIRO AMMAN BANK","AJO010213","Dahyet Al Yasmen Branch","Amman","31.915792,35.889314","N"
"ALAWNEH EXCHANGE L L C","AJO080326","Bldg 220st Prince Rashid Bin Alhussein","Amman","31.973941,35.950392","Y"
"CAIRO AMMAN BANK","AJO010082","Jabal Amman Branch","Amman","31.952218,35.914575","N"
"JORDAN POST COMPANY","AJO180152","Jabl Alnasr/ Mahmoud Al Abdall","Amman","31.959929,35.965111","N"
"ALSADAT AND AL HINDI EXCHANGE","AJO120169","Kassab Bldg, Sayeda Hajar Stre","Amman","31.959098,35.969136","N"
"HOUSING BANK FOR T AND F","AJO020113","Hai Al Ameer Hassan Branch","Amman","31.95693,35.97755","N"
"JORDAN UAE EXHANGE","AJO012886","Bldg No  8 Rashed Center St Al Bathaa","Amman","31.976061,35.950185","Y"
"HOUSING BANK FOR T AND F","AJO020377","Assalam Branch","Amman","31.95727,35.920523","N"
"JORDAN UAE EXHANGE","AJO010466","Bldg Sharqawi No195 St Khaled Alwaled","Amman","31.969744,35.914136","Y"
"ALAWNEH EXCHANGE L L C","AJO080283","Burj Alhussein Cplx St Khaled Bn Alwaled","Amman","31.969934,35.913646","Y"
"JORDAN ISLAMIC BANK","AJO050693","Bldg Jib St As Sayedah Hajar","Amman","31.960811,35.970077","N"
"JORDAN KUWAIT BANK","AJO140475","Bldg 258 St Prince Mohamad","Amman","31.955658,35.914264","N"
"JORDAN COMMERCIAL BANK","AJO030134","Bldg 1 St Mohd","Amman","31.954311,35.911854","N"
"QUSRAWI EXCHANGE","AJO011346","Bldg No 265st Prince Muhammad","Amman","31.955121,35.913181","N"
"JORDAN ISLAMIC BANK","AJO050615","Bldg Jib St King Hussein","Amman","31.95775,35.91768","N"
"ALFYSAL EXCHANGE CO","AJO090392","Bl 4 -aishah At-taimoureyah St","Amman","31.953949,35.910635","N"
"HOUSING BANK FOR T AND F","AJO020124","Jabal Amman Branch","Amman","31.95649,35.91388","N"
"HOUSING BANK FOR T AND F","AJO021509","Wadi Saqra Branch","Amman","31.95649,35.91388","N"
"JORDAN KUWAIT BANK","AJO140651","Basma Comp Bldg23 St Abuferas Alhamadani","Amman","31.951996,35.904458","N"
"CAIRO AMMAN BANK","AJO011829","Zara Branch","Amman","31.956759,35.911121","N"
"CAIRO AMMAN BANK","AJO010026","Wadi Saqra","Amman","31.956759,35.911121","N"
"Al SADAT AND HINDI EXCHANGE CO","AJO120048","Bldg Qattawy   St Saeed Bin Musayeb","Amman","31.975794,35.916414","Y"
"JORDAN COMMERCIAL BANK","AJO030046","Bldg 24 St King Hussein","Amman","31.960155,35.916579","N"
"BANK AL ETIHAD","AJO130092","Bldg 24 St Ibn Khaldoun","Amman","31.951921,35.902478","N"
"MOUNJED EXCHANGE","AJO040847","Bldg 60 St Ibn Khaldoon","Amman","31.951873,35.902247","N"
"ALAWNEH EXCHANGE L L C","AJO080096","Bldg 15st Abdulhamed Shoman","Amman","31.967728,35.897928","Y"
"JORDAN KUWAIT BANK","AJO140419","Bldg 55 St Ibn Khalboun","Amman","31.951819,35.902078","N"
"HOUSING BANK FOR T AND F","AJO022940","Head Office-abdali Parliament Street","Amman","31.960713,35.916257","N"
"HOUSING BANK FOR T AND F","AJO020553","Zahran Branch","Amman","31.95226,35.90151","N"
"JORDAN KUWAIT BANK","AJO140563","King Abdullah Center St Sharif Hassan","Amman","31.957606,35.907805","N"
"REDA EXCHANGE","AJO040979","Saleh Abdulhadi Bldg","Amman","31.873772,36.004057","N"
"AL SALAM EXCHANGE","AJO012424","Bldg No   1st King Abdullah The First","Amman","31.978324,35.982502","Y"
"HOUSING BANK FOR T AND F","AJO020410","Jabal Al Hussein Branch","Amman","31.96462,35.92163","N"
"MUSHARBASH EXCHANGE COMPANY","AJO090259","Marka Branch - Main St -king A","Balqa","31.979388,35.982089","Y"
"BANK AL ETIHAD","AJO130245","Bldg Taj Mall St Prince Hashim","Amman","31.940896,35.888122","N"
"JORDAN KUWAIT BANK","AJO140606","Bldg 62 St Umaya Bin Abd Shams","Amman","31.962967,35.914918","N"
"JORDAN KUWAIT BANK","AJO140123","Bldg 62 St Umaya Bin Abd Shams","Amman","31.962967,35.914918","N"
"JORDAN KUWAIT BANK","AJO140024","Bldg 62 St Umaya Bin Abd Shams","Amman","31.962967,35.914918","N"
"HOUSING BANK FOR T AND F","AJO022797","Taj Mall Branch","Amman","31.94085,35.88788","N"
"CAIRO AMMAN BANK","AJO010390","Qaser Al Adel Branch","Amman","31.961152,35.91078","N"
"ALAWNEH EXCHANGE L L C","AJO080074","Bldg Alhawwari 404 St 7 King Abdullah Ft","Amman","31.979567,35.984603","Y"
